sample	chr_1p	chr_1q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_20p	chr_20q	chr_21q	chr_22q
MMRF_2089_1_BM	0.7984994640943194	0.7984994640943194	0.7106109324758842	0	0.8381564844587353	0.8381564844587353	0	0	1.5916398713826367	1.5916398713826367	1.658092175777063	0	0.7009646302250804	1.557341907824223	0.795284030010718	0.795284030010718	1.6087888531618433	0.7706323687031081	0.7845659163987138	0.7845659163987138	0.787781350482315	0.787781350482315	0	0.6956055734190782	-0.8360128617363344	0	2.405144694533762	0	0	0	0	0.8113612004287245	0.8113612004287245	2.1221864951768485	0.6580921757770631	0	0	0.8027867095391211	0
MMRF_2090_1_BM	0	0.8831725616291531	0	0	0.8831725616291531	0.8831725616291531	0	0	0	0	0	0	0	0	-0.9035369774919614	0	0.8821007502679528	0.8821007502679528	0	0	0	0	0	0	-0.962486602357985	-0.9571275455519828	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2091_1_BM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0921757770632368	0	0	0	0	0	0	0	-0.14255091103965703	-0.14255091103965703	-0.9742765273311896	0	0	0	0	-0.8949624866023579	-0.19185423365487672	0	0	-0.13933547695605572	-0.13933547695605572	-0.13076098606645228	-0.13076098606645228	0	0
MMRF_2093_1_BM	0	0.8949624866023579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5862808145766345	0	-1.1050375133976418	-0.1082529474812433	0	0	0	0	0	0	0	0	0	0	0	0	-0.2090032154340836
MMRF_2095_1_BM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2097_1_BM	0	0.12647374062165057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0996784565916398	-1.0868167202572347	0	0	0	0	0	0	0	0	0	-1.1007502679528403	0	0	0
MMRF_2098_1_BM	0	0	0	0	0	1.0407288317256163	0	0	1.0546623794212218	1.0546623794212218	0	0	1.0342979635584135	1.0342979635584135	0	0	2.095391211146838	2.095391211146838	0	0	1.0557341907824223	1.0557341907824223	-1	0	0	0	2.105037513397642	0	0	0	0	0	0	0.9989281886387996	0.9989281886387996	0	0	0	0
MMRF_2101_1_BM	0	0.3108252947481243	0	0	1.0257234726688103	1.0257234726688103	0.9828510182207931	0.9828510182207931	1.0621650589496248	1.0621650589496248	0	0	1.0107181136120043	1.0107181136120043	-0.3879957127545552	0	1.302250803858521	1.302250803858521	0	0	1.3258306538049303	1.3258306538049303	0	0	-0.23794212218649516	0	1.0514469453376205	0	0	0.8370846730975349	0.8370846730975349	0	0	1.030010718113612	1.030010718113612	0	0	1.1993569131832797	0
MMRF_2102_1_BM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2106_1_BM	0	1.515541264737406	0	0	0	0	0	0	0.795284030010718	0.795284030010718	0	0	0	0	0	0	0.18113612004287247	0.18113612004287247	0	0	0	0	0.8135048231511254	0.8135048231511254	-1.0021436227224008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12540192926045016
MMRF_2107_1_BM	0.2090032154340836	0.2090032154340836	1.3558413719185423	1.3558413719185423	1.3740621650589495	1.3740621650589495	0.23043944265809216	0.23043944265809216	2.528403001071811	2.528403001071811	1.337620578778135	1.337620578778135	2.431939978563773	2.431939978563773	-0.667738478027867	0.22186495176848872	2.3515541264737405	2.3515541264737405	0.19614147909967844	0.19614147909967844	1.3440514469453375	1.3440514469453375	0.21757770632368703	0.21757770632368703	0.25401929260450157	0.19614147909967844	3.765273311897106	0.15434083601286172	0.15434083601286172	1.1018220793140407	1.1018220793140407	-0.9335476956055734	-0.9335476956055734	2.2711682743837085	2.2711682743837085	0.16720257234726688	0.16720257234726688	1.545551982851018	0.12861736334405144
MMRF_2111_1_BM	0	0	0	0	0	0	0	0	1.0889603429796355	1.0889603429796355	1.0364415862808145	1.0364415862808145	1.0493033226152197	1.0493033226152197	-0.9517684887459806	0	1.0482315112540193	1.0482315112540193	0	0	0	0	0	0	0	0	2.105037513397642	0	0	0	0	0	0	0.8135048231511254	0.8135048231511254	0	0	0.969989281886388	0
MMRF_2112_1_BM	-0.9389067524115755	1.832797427652733	0	0	0	0	0	0	0.6162915326902464	0.6162915326902464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.6988210075026795	0	0.44051446945337613	0	0	0	0	0	0	0.827438370846731	0	0	0	0	-0.127545551982851
MMRF_2113_1_BM	0.8681672025723473	0.8681672025723473	0	0	0	0	-0.11361200428724544	-0.11361200428724544	0	0	0	0	0	0	0	0	0.8981779206859591	0.8981779206859591	0	0	0	0	0	0	-1.102893890675241	-1.0814576634512325	0	0	0	0	0	0	0	0	0	0	0	-1.0932475884244373	0
MMRF_2115_1_BM	-0.9496248660235798	0	0	0	0	0	0	0	0.9271168274383708	0	0	-0.9892818863879957	0	0	-1.027867095391211	0	1.012861736334405	1.012861736334405	0	0	0.9935691318327974	0.9935691318327974	-0.30546623794212213	0	-1.0246516613076098	0	0	-1.0385852090032153	-1.0385852090032153	0	0	0	0	1.8145766345123258	0.9271168274383708	-0.9496248660235798	0	0	0
MMRF_2116_1_BM	0	0	0	0	1.0096463022508038	1.0096463022508038	0	0	1.0085744908896033	1.0085744908896033	0	0	0.9935691318327974	0.9935691318327974	0	0	0.9957127545551983	0.9957127545551983	0	0	1.0085744908896033	1.0085744908896033	0	0	0	0	0.9903536977491961	0	0	0	0	0	0	1.8960342979635583	1.8960342979635583	0	0	0.9667738478027866	0
MMRF_2118_1_BM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0664523043944265	-1.0664523043944265	-1.0643086816720257	-1.067524115755627	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2119_1_BM	0	0.947481243301179	0	0	0.14683815648445875	0.14683815648445875	0	0	1.1554126473740622	1.1554126473740622	0	0	1.1039657020364415	1.1039657020364415	0	0	2.069667738478028	2.069667738478028	0	0	0	0	0	0	-0.9967845659163987	0	1.1693461950696677	0	0	0	0	0	0	0.9882100750267953	0.9882100750267953	0	0	0	0
MMRF_2122_1_BM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0214362272240085	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0589496248660235
MMRF_2124_1_BM	0	1.3601286173633438	0	0	0	0	0	0	0	0	0	0	0	0	-0.9646302250803859	1.0932475884244373	0	0	-0.15862808145766344	-0.15862808145766344	0	0	0	0	-0.9442658092175776	0	0	0	-0.9421221864951768	0	0	-0.5680600214362272	-0.5680600214362272	0	0	0	0	1.0557341907824223	0
MMRF_2125_1_BM	0	0.9892818863879957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_2126_1_BM	0	0	0.9560557341907824	0.9560557341907824	0.9056806002143621	0.9056806002143621	0	0	0.9367631296891746	0.9367631296891746	0	0	0	0	-1.0042872454448017	0	0.9239013933547695	0.9239013933547695	0	0	0.9764201500535905	0.9764201500535905	0	0	-0.16720257234726688	0	1.9088960342979633	0	0	0	0	0	0	0.8445873526259379	0.8445873526259379	0	0	1.0707395498392283	0
MMRF_2128_1_BM	-0.12861736334405144	-0.12861736334405144	-0.12004287245444802	-0.12004287245444802	0.8563772775991425	0.8563772775991425	-0.10718113612004287	-0.10718113612004287	0.8585209003215434	0.8585209003215434	-0.12647374062165057	-0.12647374062165057	0	0	0	0	1.0235798499464093	1.0235798499464093	-0.12647374062165057	-0.12647374062165057	1.8199356913183278	1.8199356913183278	-0.12433011789924973	-0.12433011789924973	-0.11682743837084672	-0.12433011789924973	0.8585209003215434	-0.16291532690246516	-0.16291532690246516	-0.16934619506966772	-0.16934619506966772	-0.11682743837084672	-0.11682743837084672	0.765273311897106	0.765273311897106	-0.13933547695605572	-0.13933547695605572	0	-0.15434083601286172
MMRF_2129_1_BM	0	0	0	0	0	0	0	0	0	0	0.42765273311897106	0	0	0	0	0	1.0385852090032153	1.0385852090032153	0	0	0	1.0107181136120043	0	0	0	1.0418006430868167	1.067524115755627	0	0	0	0	0	0	1.0471596998928188	1.0471596998928188	0	0	0.17363344051446944	0
MMRF_2132_1_BM	-1.0064308681672025	0.8885316184351553	0	0	0	0.2390139335476956	-0.7406216505894961	0	1.057877813504823	1.057877813504823	0	0	0	0	0	0	1.0685959271168273	1.0685959271168273	0	0	0	0	0	-0.8295819935691318	0	0	0	0	-0.9560557341907824	0.9817792068595927	0.9817792068595927	0	0	0.8306538049303323	0.8306538049303323	0	0	0	0
MMRF_2137_1_BM	0.6741693461950696	0.6741693461950696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7288317256162915	0	0	0	0	0	0	0	0	-0.112540192926045	-0.112540192926045	0	0	0	0
MMRF_2138_1_BM	0	0	0	0	0.9807073954983923	0.9807073954983923	0	0	0.9807073954983923	0.9807073954983923	0	0	0	0	0	0	0.962486602357985	0.8295819935691318	0	0	1.3922829581993568	1.3922829581993568	0	0	0	0	1.885316184351554	0	0	0	0	0	0	0.8638799571275455	0.8638799571275455	0	0	0	0
MMRF_2140_1_BM	0	1.0096463022508038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9785637727759914	0	0	0	0	0	0	0	0	0	0
MMRF_2141_1_BM	-0.1082529474812433	0	0	0	0	0	0	0	0.7781350482315111	0.7781350482315111	0	0	0	0	0	0	0.7566988210075026	0.7566988210075026	0	0	0.7566988210075026	0.7566988210075026	0	0	0	0	0.1382636655948553	0	0	0	0	0	0	0.6870310825294748	0.6870310825294748	0	0	0.5787781350482315	-0.1232583065380493
