event_all	n_all	percentage_all	event_maj	n_maj	percentage_maj	event_minor	n_minor	percentage_minor
AMP_all-broad_chr_12q	2	0.004	AMP_maj-broad_chr_12q	2	0.004	AMP_minor-broad_chr_12q	0	0
AMP_all-broad_chr_13q	2	0.004	AMP_maj-broad_chr_13q	1	0.002	AMP_minor-broad_chr_13q	1	0.002
AMP_all-broad_chr_14q	2	0.004	AMP_maj-broad_chr_14q	2	0.004	AMP_minor-broad_chr_14q	0	0
AMP_all-broad_chr_15q	240	0.468	AMP_maj-broad_chr_15q	225	0.439	AMP_minor-broad_chr_15q	15	0.029000000000000026
AMP_all-broad_chr_16p	18	0.035	AMP_maj-broad_chr_16p	10	0.019	AMP_minor-broad_chr_16p	8	0.016000000000000004
AMP_all-broad_chr_16q	19	0.037	AMP_maj-broad_chr_16q	10	0.019	AMP_minor-broad_chr_16q	9	0.018
AMP_all-broad_chr_17p	37	0.072	AMP_maj-broad_chr_17p	32	0.062	AMP_minor-broad_chr_17p	5	0.009999999999999995
AMP_all-broad_chr_17q	47	0.092	AMP_maj-broad_chr_17q	38	0.074	AMP_minor-broad_chr_17q	9	0.018000000000000002
AMP_all-broad_chr_18p	63	0.123	AMP_maj-broad_chr_18p	52	0.101	AMP_minor-broad_chr_18p	11	0.021999999999999992
AMP_all-broad_chr_18q	66	0.129	AMP_maj-broad_chr_18q	54	0.105	AMP_minor-broad_chr_18q	12	0.024000000000000007
AMP_all-broad_chr_19p	265	0.517	AMP_maj-broad_chr_19p	253	0.493	AMP_minor-broad_chr_19p	12	0.02400000000000002
AMP_all-broad_chr_19q	230	0.448	AMP_maj-broad_chr_19q	221	0.431	AMP_minor-broad_chr_19q	9	0.017000000000000015
AMP_all-broad_chr_20p	22	0.043	AMP_maj-broad_chr_20p	16	0.031	AMP_minor-broad_chr_20p	6	0.011999999999999997
AMP_all-broad_chr_20q	26	0.051	AMP_maj-broad_chr_20q	17	0.033	AMP_minor-broad_chr_20q	9	0.017999999999999995
AMP_all-broad_chr_21q	128	0.25	AMP_maj-broad_chr_21q	116	0.226	AMP_minor-broad_chr_21q	12	0.023999999999999994
AMP_all-broad_chr_22q	9	0.018	AMP_maj-broad_chr_22q	8	0.016	AMP_minor-broad_chr_22q	1	0.0019999999999999983
DEL_all-broad_chr_1p	46	0.09	DEL_maj-broad_chr_1p	36	0.07	DEL_minor-broad_chr_1p	10	0.01999999999999999
DEL_all-broad_chr_1q	9	0.018	DEL_maj-broad_chr_1q	3	0.006	DEL_minor-broad_chr_1q	6	0.011999999999999999
DEL_all-broad_chr_2p	6	0.012	DEL_maj-broad_chr_2p	2	0.004	DEL_minor-broad_chr_2p	4	0.008
DEL_all-broad_chr_2q	10	0.019	DEL_maj-broad_chr_2q	4	0.008	DEL_minor-broad_chr_2q	6	0.011
