"","ascat.output.goodnessOfFit","ascat.output.aberrantcellfraction","ascat.output.ploidy","ascat.output.psi"
"MM_cytoscanHD28022018_936_.CytoScanHD_Array.",98.6072900707777,1,2.12356952775837,1.95
"MM_cytoscanHD26012018_932_.CytoScanHD_Array.",95.1761134440714,0.77,1.99814691987358,1.95
"X20160704_MG_MM_Cyto577_.CytoScanHD_Array.",96.9971292637184,0.74,1.91193663963794,2.05
"MM_cytoscanHD22032018_949_.CytoScanHD_Array.",98.019451267911,0.79,2.26406871874007,1.95
"MM_cytoscanHD_10192017_861_.CytoScanHD_Array.",97.3205820697966,0.82,1.9644577311463,2
"MM_cytoscanHD_10262017_868_.CytoScanHD_Array.",96.1745125053164,0.85,2.07399262531718,2
"X20160126_MG_MM_Cyto543_.CytoScanHD_Array.",94.7333213646305,0.85,1.9644235499792,2.05
"X20160126_MG_MM_Cyto544_.CytoScanHD_Array.",95.0625593799541,0.6,2.66431405502707,2.25
"X20160126_MG_MM_Cyto545_.CytoScanHD_Array.",96.7560406881739,0.48,3.94621113284453,4
"X20160126_MG_MM_Cyto548_.CytoScanHD_Array.",97.3221297565403,0.61,2.37733742534391,2.2
"X20170726_MG_MM_Cyto813_.CytoScanHD_Array.",98.9713169418634,0.31,1.99975343472722,2.05
"MM__CytoscanHD_11062018_1019_.CytoScanHD_Array.",91.7282825951914,0.51,1.99361964349427,1.95
"MM_cytoscanHD22032018_950_.CytoScanHD_Array.",97.7074851870981,0.5,5.27914568589505,4.15
"MM_cytoscanHD22032018_951_.CytoScanHD_Array.",98.735875682949,0.82,2.41301449857572,1.95
"MM_CytoscanHD_07052018_992_.CytoScanHD_Array.",99.3813122183307,0.76,2.39884429249401,1.95
"MM_cytoscanHD22032018_952_.CytoScanHD_Array.",99.512707060555,0.72,2.73011203357589,2.9
"X20140527_MART_MM_Cyto421_.CytoScanHD_Array.",92.1553304471716,0.9,1.90786216770817,2.3
