# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
MMRF_1960_1_BM	-1.001000	2.957000
MMRF_1963_1_BM	-1.059000	0.703000
MMRF_1965_1_BM	-1.109000	1.948000
MMRF_1967_1_BM	-1.053000	1.089000
MMRF_1970_1_BM	-0.215000	1.001000
MMRF_1971_1_BM	-0.929000	0.815000
MMRF_1972_1_BM	-1.030000	1.623000
MMRF_1977_1_BM	-1.053000	2.104000
MMRF_1978_1_BM	-0.100000	0.900000
MMRF_1981_1_BM	-0.818000	3.943000
MMRF_1982_1_BM	-0.100000	1.921000
MMRF_1985_1_BM	-0.947000	0.986000
MMRF_1986_1_BM	-1.026000	2.038000
MMRF_1988_1_BM	-0.612000	1.247000
MMRF_1991_1_BM	-1.147000	1.057000
MMRF_1992_1_BM	-0.100000	1.008000
MMRF_1994_1_BM	-1.083000	2.071000
MMRF_1995_1_BM	-0.100000	1.455000
MMRF_1997_1_BM	-0.664000	0.938000
MMRF_1998_1_BM	-1.052000	1.040000
MMRF_1999_1_BM	-0.204000	1.041000
MMRF_2000_1_BM	-1.108000	0.100000
MMRF_2001_1_BM	-0.100000	1.974000
MMRF_2002_1_BM	-1.025000	1.832000
MMRF_2005_1_BM	-0.261000	1.117000
MMRF_2006_1_BM	-0.100000	1.086000
MMRF_2007_1_BM	-0.245000	0.551000
MMRF_2012_1_BM	-1.027000	1.971000
MMRF_2013_1_BM	-0.770000	0.288000
MMRF_2014_1_BM	-1.092000	1.040000
MMRF_2015_1_BM	-1.102000	0.879000
MMRF_2016_1_BM	-0.608000	1.646000
MMRF_2017_1_BM	-0.100000	0.100000
MMRF_2018_1_BM	-0.911000	2.087000
MMRF_2024_1_BM	-0.247000	0.100000
MMRF_2026_1_BM	-0.205000	1.100000
MMRF_2035_1_BM	-1.065000	1.093000
MMRF_2038_1_BM	-0.100000	2.170000
MMRF_2039_1_BM	-0.986000	1.043000
MMRF_2041_1_BM	-1.113000	0.100000
MMRF_2043_1_BM	-1.029000	1.681000
MMRF_2047_1_BM	-0.226000	1.906000
MMRF_2050_1_BM	-0.906000	1.784000
MMRF_2054_1_BM	-0.534000	1.158000
MMRF_2055_1_BM	-1.044000	1.349000
MMRF_2056_1_BM	-0.100000	0.100000
MMRF_2057_1_BM	-1.135000	1.955000
MMRF_2058_1_BM	-0.272000	2.005000
MMRF_2059_1_BM	-1.041000	0.998000
MMRF_2061_1_BM	-1.034000	0.859000
MMRF_2062_1_BM	-1.126000	0.993000
MMRF_2063_1_BM	-0.938000	2.180000
MMRF_2068_1_BM	-0.100000	2.064000
MMRF_2072_1_BM	-1.535000	0.338000
MMRF_2074_1_BM	-1.130000	1.953000
MMRF_2076_1_BM	-1.113000	1.043000
MMRF_2079_1_BM	-0.100000	2.081000
MMRF_2080_1_BM	-0.100000	1.828000
MMRF_2081_1_BM	-1.110000	1.048000
MMRF_2082_1_BM	-1.078000	2.180000
MMRF_2083_1_BM	-1.109000	0.100000
MMRF_2087_1_BM	-1.140000	1.817000
MMRF_2089_1_BM	-0.880000	2.344000
MMRF_2090_1_BM	-0.998000	0.924000
MMRF_2091_1_BM	-1.119000	0.100000
MMRF_2093_1_BM	-1.131000	0.935000
MMRF_2095_1_BM	-0.100000	0.100000
MMRF_2097_1_BM	-1.127000	0.218000
MMRF_2098_1_BM	-1.033000	2.064000
MMRF_2101_1_BM	-0.462000	1.337000
MMRF_2102_1_BM	-0.100000	0.100000
MMRF_2106_1_BM	-1.035000	1.514000
MMRF_2107_1_BM	-0.971000	3.613000
MMRF_2111_1_BM	-0.988000	2.064000
MMRF_2112_1_BM	-0.976000	1.810000
MMRF_2113_1_BM	-1.129000	0.938000
MMRF_2115_1_BM	-1.069000	1.793000
MMRF_2116_1_BM	-0.100000	1.869000
MMRF_2118_1_BM	-1.096000	0.100000
MMRF_2119_1_BM	-1.030000	2.031000
MMRF_2122_1_BM	-1.088000	0.100000
MMRF_2124_1_BM	-1.000000	1.369000
MMRF_2125_1_BM	-0.100000	1.023000
MMRF_2126_1_BM	-1.037000	1.881000
MMRF_2128_1_BM	-0.258000	1.798000
MMRF_2129_1_BM	-0.100000	1.096000
MMRF_2132_1_BM	-1.039000	1.097000
MMRF_2137_1_BM	-0.780000	0.729000
MMRF_2138_1_BM	-0.100000	1.859000
MMRF_2140_1_BM	-1.013000	1.042000
MMRF_2141_1_BM	-0.215000	0.826000
