# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
X20150422_MG_MM_Cyto446_.CytoScanHD_Array.	-1.143000	0.100000
X20150305_MG_MM_Cyto434_.CytoScanHD_Array.	-0.995000	1.439000
X20160725_MG_MM_Cyto601_.CytoScanHD_Array.	-0.267000	0.100000
X20150519_MG_MM_Cyto461_.CytoScanHD_Array.	-1.192000	1.268000
X20150305_MG_MM_Cyto435_.CytoScanHD_Array.	-1.211000	1.192000
X20150326_MG_MM_Cyto441_.CytoScanHD_Array.	-1.600000	3.248000
X20150422_MG_MM_Cyto451_.CytoScanHD_Array.	-1.297000	1.371000
X20150305_MG_MM_Cyto436_.CytoScanHD_Array.	-0.100000	0.100000
X20150326_MG_MM_Cyto442_.CytoScanHD_Array.	-1.409000	1.877000
X20150326_MG_MM_Cyto444_.CytoScanHD_Array.	-0.100000	2.238000
X20150326_MG_MM_Cyto445_.CytoScanHD_Array.	-1.309000	2.960000
X20150519_MG_MM_Cyto457_.CytoScanHD_Array.	-0.100000	1.097000
X20150519_MG_MM_Cyto458_.CytoScanHD_Array.	-1.238000	0.100000
X20150519_MG_MM_Cyto459_.CytoScanHD_Array.	-0.100000	2.417000
X20150519_MG_MM_Cyto460_.CytoScanHD_Array.	-0.100000	1.324000
MM_cytoscanHD14032018_948_.CytoScanHD_Array.	-0.100000	0.781000
X20150519_MG_MM_Cyto463_.CytoScanHD_Array.	-1.126000	0.100000
X20150519_MG_MM_Cyto464_.CytoScanHD_Array.	-1.220000	2.767000
X20150519_MG_MM_Cyto465_.CytoScanHD_Array.	-1.600000	1.737000
X20150519_MG_MM_Cyto466_.CytoScanHD_Array.	-0.100000	0.100000
X20150519_MG_MM_Cyto467_.CytoScanHD_Array.	-0.823000	5.121000
MM_cytoscanHD24012018_925_.CytoScanHD_Array.	-1.273000	0.100000
MM_cytoscanHD_10022017_852_.CytoScanHD_Array.	-1.284000	1.400000
MM_cytoscanHD28022018_936_.CytoScanHD_Array.	-0.100000	1.385000
MM_cytoscanHD26012018_932_.CytoScanHD_Array.	-1.296000	1.481000
X20160704_MG_MM_Cyto577_.CytoScanHD_Array.	-1.196000	1.204000
MM_cytoscanHD22032018_949_.CytoScanHD_Array.	-0.376000	1.460000
MM_cytoscanHD_10192017_861_.CytoScanHD_Array.	-1.180000	1.208000
MM_cytoscanHD_10262017_868_.CytoScanHD_Array.	-1.206000	1.188000
X20160126_MG_MM_Cyto543_.CytoScanHD_Array.	-1.280000	1.354000
X20160126_MG_MM_Cyto544_.CytoScanHD_Array.	-0.100000	2.943000
X20160126_MG_MM_Cyto545_.CytoScanHD_Array.	-1.219000	0.100000
X20160126_MG_MM_Cyto548_.CytoScanHD_Array.	-1.353000	1.316000
X20170726_MG_MM_Cyto813_.CytoScanHD_Array.	-1.600000	0.100000
MM__CytoscanHD_11062018_1019_.CytoScanHD_Array.	-1.598000	0.786000
MM_cytoscanHD22032018_950_.CytoScanHD_Array.	-0.275000	2.395000
MM_cytoscanHD22032018_951_.CytoScanHD_Array.	-1.194000	2.410000
MM_CytoscanHD_07052018_992_.CytoScanHD_Array.	-1.103000	2.433000
MM_cytoscanHD22032018_952_.CytoScanHD_Array.	-0.762000	0.783000
X20140527_MART_MM_Cyto421_.CytoScanHD_Array.	-1.190000	0.100000
MM_CytoscanHD_07052018_989_.CytoScanHD_Array.	-1.157000	1.252000
MM_cytoscanHD22032018_953_.CytoScanHD_Array.	-1.600000	2.166000
MM_cytoscanHD22032018_954_.CytoScanHD_Array.	-1.280000	0.279000
X20140616_MART_MM_Cyto423_.CytoScanHD_Array.	-0.100000	1.941000
MM_cytoscanHD22032018_955_.CytoScanHD_Array.	-1.248000	1.178000
X20170726_MG_MM_Cyto810_.CytoScanHD_Array.	-1.208000	2.786000
X20140527_MART_MM_Cyto420_.CytoScanHD_Array.	-1.055000	2.519000
MM_CytoscanHD_07052018_990_.CytoScanHD_Array.	-1.316000	2.539000
X20140527_MART_MM_Cyto419_.CytoScanHD_Array.	-1.234000	2.167000
MM_CytoscanHD_07052018_991_.CytoScanHD_Array.	-0.100000	2.893000
MM_CytoscanHD_07052018_984_.CytoScanHD_Array.	-1.538000	3.183000
MM__CytoscanHD_11062018_1020_.CytoScanHD_Array.	-0.100000	0.100000
X20160727_MG_MM_Cyto609_.CytoScanHD_Array.	-1.275000	1.454000
X20160727_MG_MM_Cyto610_.CytoScanHD_Array.	-1.252000	2.778000
MM__CytoscanHD_11062018_1021_.CytoScanHD_Array.	-0.100000	1.401000
X20160727_MG_MM_Cyto604_.CytoScanHD_Array.	-1.459000	1.339000
X20160503_MG_MM_Cyto561_.CytoScanHD_Array.	-1.249000	0.579000
