"","ascat.output.goodnessOfFit","ascat.output.aberrantcellfraction","ascat.output.ploidy","ascat.output.psi"
"X20160704_MG_MM_Cyto582_.CytoScanHD_Array.",98.5663702811578,0.83,1.88018156728716,2
"MM__CytoscanHD_10052018_1000_.CytoScanHD_Array.",94.3151127943703,0.86,1.93309977482676,2.15
"MM__CytoscanHD_11062018_1023_.CytoScanHD_Array.",94.8483089088741,1,2.40872072949524,2.15
"MM__CytoscanHD_11062018_1024_.CytoScanHD_Array.",97.6689828312752,0.87,1.9937425420726,2.05
"MM__CytoscanHD_11062018_1025_.CytoScanHD_Array.",98.0882236203618,0.88,1.96660039104791,2
"X20170719_MG_MM_Cyto_D3MM_.CytoScanHD_Array.",97.7299220733475,0.77,2.45101320276384,1.95
"MM__CytoscanHD_21062018_1027_.CytoScanHD_Array.",99.411107848972,0.89,2.47517352703173,2.05
"MM_cytoscanHD_10192017_860_.CytoScanHD_Array.",98.5867693335698,0.77,2.34753106357582,2
"MM__CytoscanHD_21062018_1028_.CytoScanHD_Array.",88.7621763716128,0.37,2.76737411441013,1.95
"X20170726_MG_MM_Cyto808_.CytoScanHD_Array.",91.8518322723368,0.79,1.88019462526111,2
"MM__CytoscanHD_21062018_1029_.CytoScanHD_Array.",95.3534229746566,0.74,2.01095410390998,1.95
"MM__CytoscanHD_21062018_1030_.CytoScanHD_Array.",96.8985435086722,0.87,1.96241607851376,2
"MM__CytoscanHD_21062018_1031_.CytoScanHD_Array.",94.1255978133763,0.54,3.91144888590518,4
"MM__CytoscanHD_21062018_1032_.CytoScanHD_Array.",93.0754542816562,0.81,4.12650949218692,3.9
"MM__CytoscanHD_31052018_1010_.CytoScanHD_Array.",93.3611317260799,0.54,4.13013461618966,4
"MM__CytoscanHD_03072018_1040_.CytoScanHD_Array.",98.0327643960157,0.61,2.05530896894622,1.95
"MM__CytoscanHD_03072018_1041_.CytoScanHD_Array.",99.0455183928878,0.7,2.36866923499091,1.85
"X20160725_MG_MM_Cyto592_.CytoScanHD_Array.",87.6934870555082,0.72,2.12290357108703,1.85
"MM__CytoscanHD_10052018_1001_.CytoScanHD_Array.",94.3212351572233,0.69,4.03762501569838,4
"MM_cytoscanHD_11162017_886_.CytoScanHD_Array.",99.5513448875044,0.72,2.22490862298672,2
"MM__CytoscanHD_31052018_1013_.CytoScanHD_Array.",99.1961118895428,0.82,2.45579510963513,1.9
"MM__CytoscanHD_31052018_1014_.CytoScanHD_Array.",97.5400804394394,0.73,2.56492866313615,3.1
"MM__CytoscanHD_31052018_1015_.CytoScanHD_Array.",98.1082746900515,0.76,2.01428196697638,1.95
"MM__CytoscanHD_24052018_1007_.CytoScanHD_Array.",93.1129673890711,0.76,1.92660381684579,1.9
"MM__CytoscanHD_24052018_1008_.CytoScanHD_Array.",97.3060766354346,0.59,1.96194944797415,2
"MM__CytoscanHD_24052018_1009_.CytoScanHD_Array.",99.1915260353373,0.87,1.92055835896601,2
"MM__CytoscanHD_11062018_1018_.CytoScanHD_Array.",99.4105995204944,0.83,2.47435125873108,1.9
"MM__CytoscanHD_31052018_1011_.CytoScanHD_Array.",96.5041090701279,0.8,2.22942322545014,2.05
"MM_CytoscanHD_17042018_975_.CytoScanHD_Array.",98.9825127627557,0.89,1.86435875938494,2
"MM_CytoscanHD_17042018_974_.CytoScanHD_Array.",99.1746253401639,0.72,2.29767034223029,1.9
"MM_CytoscanHD_17042018_973_.CytoScanHD_Array.",96.1081745394615,0.65,1.98511045317699,2
"MM_CytoscanHD_17042018_972_.CytoScanHD_Array.",94.2550281353864,0.81,2.00600282743542,2.05
"MM_CytoscanHD_17042018_971_.CytoScanHD_Array.",98.5109864940422,0.84,1.98793097554971,2
"X20170605_MG_MM_Cyto762_.CytoScanHD_Array.",99.1015080528017,0.84,2.57677800637767,2
"MM_cytoscanHD_10262017_869_.CytoScanHD_Array.",96.5928806695489,0.85,2.17198657486655,1.85
"X20161110_MG_MM_Cyto696_.CytoScanHD_Array.",92.3591747892124,0.49,4.1080708648565,4
"X20170704_MG_MM_Cyto788_.CytoScanHD_Array._2",99.1021876306269,0.73,2.27696999700051,1.95
"MM_cytoscanHD_011518_904_.CytoScanHD_Array.",98.736386589033,0.87,2.06033782514835,1.9
