Alteration	Amp 1q	Amp 2p	Amp 3p	Amp 3q	Amp 4p	Amp 4q	Amp 5p	Amp 5q	Amp 6p	Amp 6q	Amp 7p	Amp 7q	Amp 8q	Amp 9p	Amp 9q	Amp 11p	Amp 11q	Amp 15q	Amp 17p	Amp 17q	Amp 18p	Amp 18q	Amp 19p	Amp 19q	Amp 20q	Amp 21q	Del 1p	Del 4p	Del 6q	Del 8p	Del 8q	Del 10p	Del 12p	Del 12q	Del 13q	Del 14q	Del 16p	Del 16q	Del 17p	Del 18p	Del 18q	Del 20p	Del 20q	Del 22q	t 4 14	t 11 14	t others	t IgH	HyperDiploidy
Amp 8q	0.08597403090410334	0.17640244369063737	0.021582699351311626	0.04104329325326523	-0.043381897323261344	-0.04015015907128981	0.08892775507406847	0.09084213465942466	0.05263303951971314	0.01284484719952877	0.03620018283339566	-0.006862683096258381	1	0.10952451037739269	0.14798893834913426	0.05779014788254582	0.037150578921130016	0.10456277506657694	0.04166815674202271	0.031346147089063324	0.15372846384476171	0.14718315108713756	0.08895520212518859	0.10248887907568047	0.12452480718909663	0.06965042793073373	-0.017753435793094755	-0.007076541866125634	0.09792701699315016	0.0012251444529357825	-0.05364380354460095	-0.035609922025944866	0.020258197501944703	-0.03542811994207551	-0.018981371596507177	-0.05345669291315405	-0.03393356888578412	-0.021652447275953293	-0.04112953967273218	1.0489337869576559e-5	-0.03383349712974504	0.03435151737792535	-0.046799876162626104	0.011976373392434346	0.06769904520478023	-0.08434188185148132	-0.06485520340680376	-0.05617624496706277	0.10573046073470455
Amp 9p	-0.10828486865393973	0.12565978554974302	0.5906493267322833	0.6048264615203437	0.15280325239364873	0.13617501639326335	0.749104912886223	0.7445400207270638	0.19320577930002372	0.1906941605011845	0.5717514182930691	0.5555489067313668	0.10952451037739269	1	0.931399401266125	0.5936766279714948	0.5505441632488179	0.7882526458744351	0.2841351249845531	0.3029984149399894	0.27582656313286474	0.2700714283652073	0.7435924714121293	0.7225301413898845	0.2040894415158933	0.43365409538987687	-0.06329423700866964	-0.067130945781414	-0.0908271291732691	0.04289150883025242	-0.11216134251763635	-0.1407093656200732	-0.13598870291781814	-0.13166464533026526	-0.24056143247243952	-0.2456551461923796	-0.09558112480198583	0.061571555492550355	-0.1433982921526155	-0.02170917394535961	0.005643137836806846	-0.06087352151932337	-0.12359942303218216	-0.1826149688822933	-0.22248841503921576	-0.3600307197627131	-0.1757905292415243	-0.5694600708719526	0.7768000540721088
Amp 9q	-0.11044898676533858	0.1186020702455329	0.5583657550057183	0.5791956781794836	0.14555695382833436	0.12802905703358153	0.7252116033754413	0.7209338315544035	0.19875794308561837	0.18041409266461517	0.525992521861998	0.5167577551213935	0.14798893834913426	0.931399401266125	1	0.5705069317573235	0.528623259264671	0.7504445414852112	0.27675341538337894	0.2945524042418887	0.24966978631631764	0.24662413632541708	0.7112644699757453	0.6891680731346937	0.19403813062472056	0.4107035162592876	-0.052129133782181786	-0.058835539120506423	-0.04625523502815055	0.023315489271386762	-0.11709035504792696	-0.11928334599815922	-0.1384915677014855	-0.1319947761390315	-0.22356568678154393	-0.22266647677756296	-0.08502907950455475	0.09997566874015132	-0.13140632204504457	-0.010791997184102054	0.0029070576770917527	-0.09287568236326818	-0.11057945871154506	-0.16261689930586395	-0.23842452427753402	-0.34196000104304686	-0.1479137626398129	-0.5525921586006203	0.7525713621810359
Amp 11p	-0.26103102846984844	0.09510185884124543	0.578779777325128	0.5781899562588748	0.21085634644068424	0.2005262334707665	0.5213268609237572	0.510849313209366	0.2083043037858605	0.15856693140335842	0.36504512108810827	0.3705301908380003	0.05779014788254582	0.5936766279714948	0.5705069317573235	1	0.841095690456625	0.6492958212684528	0.26487818593418916	0.2749921844998315	0.1641764068719332	0.16331751448653128	0.6554527994657179	0.65883359415854	0.19961697669604545	0.3990616185575239	-0.0694405543906982	0.0020175226672580118	-0.0025347889942466343	0.00932175238547806	-0.07783887650235824	-0.041923661041168764	-0.09087099458721164	-0.07997343368302462	-0.3313510929652416	-0.1849276343589804	-0.043076749762630664	0.021674004175335212	-0.09100696455196497	-0.04235767631778239	-0.007741166097086868	-0.11561349955829159	-0.04092785454785089	-0.1345052213573841	-0.11185019475832064	-0.25861443029636094	-0.21304388932674512	-0.4094983200847493	0.6033759696664798
Amp 11q	-0.2935757985028769	0.09510334744493812	0.5178012814440784	0.5074148239793136	0.19440889790605154	0.18007205022280354	0.4706666628821766	0.47002044232559376	0.15482224596854138	0.13250024490160525	0.3302728552844955	0.3413504401144834	0.037150578921130016	0.5505441632488179	0.528623259264671	0.841095690456625	1	0.5664911883687549	0.22050710429550072	0.22702779675818996	0.1373975416241256	0.13506210959918807	0.5929713128079708	0.5956583938701873	0.20700257513193443	0.3760201232220353	-0.08332420115188276	-6.5402599321811e-4	-0.04667478218934218	-0.04974934521947235	-0.1269767554716082	-0.08270147429813489	-0.1166254331482729	-0.10114234098672982	-0.3776235595695235	-0.21457630245978543	-0.0886760790624275	-0.03125592453540514	-0.12067651524275298	-0.05775810075561021	-0.016288191187883133	-0.16838416627027283	-0.08947971572102535	-0.17903453566464025	-0.18298448097029096	-0.09801450598724654	-0.22759159344799548	-0.35910343422361896	0.5638022656712647
Amp 15q	-0.18529692127031033	0.20217099316602466	0.6259175501529496	0.6464739322669191	0.2060994995091816	0.20380278359553514	0.7664416528532899	0.7623205501354984	0.24990838605692556	0.2326847850949504	0.5685232942514931	0.5576787940356593	0.10456277506657694	0.7882526458744351	0.7504445414852112	0.6492958212684528	0.5664911883687549	1	0.24691679182586806	0.2622120459319543	0.2635715214489936	0.25848580509168756	0.7823734249738499	0.7975470158564293	0.15606906498588036	0.4533353235528733	-0.07776888614225658	-0.032529540816540026	-0.07316655121754485	0.051382231638771904	-0.08115428916993597	-0.07037994680057254	-0.08818443285469056	-0.09034389678046276	-0.23941012617584795	-0.26627848641241103	-0.04679150352308743	0.01987500877989209	-0.08645151909435195	-0.002553775186258412	0.045115423660577206	-0.08183311848807871	-0.04979902545945299	-0.1717978711242056	-0.17210272508141428	-0.3906951112926986	-0.22026609545789644	-0.5776510638183647	0.742146650212522
Amp 17p	0.013768708915918157	-0.011342409786853034	0.2718780222140397	0.2638936945848101	0.04418826508244464	0.030276619132530477	0.2025201512531265	0.20311217712896637	0.19974522860834074	0.27228415434805014	0.24416735245031584	0.23392092585407417	0.04166815674202271	0.2841351249845531	0.27675341538337894	0.26487818593418916	0.22050710429550072	0.24691679182586806	1	0.9345675593804079	0.10015426533173899	0.09993397609899272	0.26667311886675454	0.23832710468679	0.15378792977089778	0.09655191265607711	-0.07113312419868685	-0.05995258930791908	-0.093121109888028325	0.009947706323478543	-0.05412010940283694	-0.05213256947897508	-0.04948453905701615	-0.054752232240489536	-0.12324113226099057	-0.10529032150341286	-0.04056738582003037	0.03394427718252786	-0.08640428689422336	-0.02175565995447154	-0.004442540347039026	-0.04449586637435471	-0.04455381395670199	-0.007295319877698041	-0.060462156968304606	-0.10837561982019717	-0.004598363003127318	-0.14652350807771078	0.22249760836175927
Amp 17q	0.03637697875152624	-0.010208106390792851	0.2591195920155807	0.24956455227976415	0.04413886146795845	0.028936200527195706	0.21829422503225318	0.2203529062747064	0.17962982304524994	0.24794033807145413	0.2584470624205525	0.24723617592026395	0.031346147089063324	0.3029984149399894	0.2945524042418887	0.2749921844998315	0.22702779675818996	0.2622120459319543	0.9345675593804079	1	0.0906876583365488	0.09195242278704453	0.2670877234818736	0.23724649128155473	0.15094298295344408	0.12346923592274708	-0.07696004747842983	-0.06569588084445471	-0.0862363245565224	0.021450215092310074	-0.04933495102150637	-0.05812226794729784	-0.061681520161602596	-0.061692686922458426	-0.12706246369394691	-0.11709266424868876	-0.003172341939052778	0.06870212196737717	-0.09422513104694429	-0.03354843817007377	-0.015243788387735449	-0.010254875153120652	-0.040236306794773094	-0.02216372480232581	-0.08093671083801655	-0.1101169174616149	-0.02025667872612327	-0.17745527756944948	0.23161766618248752
Amp 18p	0.07712235825063495	0.23478817545150668	0.18001830207455477	0.22239213567146238	0.05495603650270748	0.059871212986142786	0.2205491100048422	0.18377504951275683	0.0570938750733773	0.02538842558513863	0.2829536860176209	0.30306436676965526	0.15372846384476171	0.27582656313286474	0.24966978631631764	0.1641764068719332	0.1373975416241256	0.2635715214489936	0.10015426533173899	0.0906876583365488	1	0.9598039835117526	0.27317304781836277	0.2938066318112939	0.08482885735680944	0.08835685519677622	0.011806366282480848	0.03454793574383139	0.009195170960736881	-0.02431109450565924	-0.047029208842215585	-0.017127400772902087	-0.020485350124421552	-0.04364739528071697	0.026136767123206322	-0.07013907121136373	-0.03551599949711277	0.0865765736584293	-0.03484028538864097	-0.09185812509916387	-0.07751992639659035	-0.01587192262261672	-0.00569752415548872	0.008446773596571084	-0.13280598633473978	-0.12581548753922747	-0.04157792726090934	-0.2509471573561629	0.2574856038823358
Amp 18q	0.10594949285754103	0.249078175115868	0.17015685921239065	0.21059015570402032	0.05975160289737424	0.06353964599751516	0.21342180046574533	0.17525916391987903	0.05908605670573228	0.02109764226777463	0.2929201263621947	0.31269903464129506	0.14718315108713756	0.2700714283652073	0.24662413632541708	0.16331751448653128	0.13506210959918807	0.25848580509168756	0.09993397609899272	0.09195242278704453	0.9598039835117526	1	0.26672700594373067	0.2887194563913254	0.08011100466644097	0.10924971760372719	0.035745097711420246	0.030432046845073224	0.008110714780909986	-0.028426066893320116	-0.04938687640539704	-0.010978577937607398	-0.013477102126004257	-0.04605035252498334	0.037768769773934015	-0.07215598150233617	-0.038538658359112875	0.0953933927236117	-0.034829716890005455	-0.08492615308681532	-0.07910628444163312	-0.012846758680547913	0.0020266064707569883	0.016332021245277755	-0.1335100763657829	-0.13065246922777615	-0.0453132125612952	-0.2580198038520709	0.2483115657603957
Amp 19p	-0.18241885168312807	0.16012477907897607	0.6107430425165747	0.616886846630021	0.2053123948002621	0.17745482462148934	0.740038226590206	0.7372623202002745	0.21129346013724168	0.1715051606017533	0.5934500475518959	0.6061350417026634	0.08895520212518859	0.7435924714121293	0.7112644699757453	0.6554527994657179	0.5929713128079708	0.7823734249738499	0.26667311886675454	0.2670877234818736	0.27317304781836277	0.26672700594373067	1	0.8907187266492875	0.18078114020861713	0.4397849506659429	-0.058133260455698416	-0.01769497925191144	-0.07802170399537187	0.012340940595307312	-0.10849615574209273	-0.06603353952056198	-0.051526117346992854	-0.09644011159355101	-0.2960012578545242	-0.22338000287317394	-0.07943667969326977	0.043698913028190324	-0.107296166338795	-0.05218614683124709	-0.011603710503541333	-0.09632760027759282	-0.06552104660571566	-0.13397091231973096	-0.177517695979172	-0.36206176302987636	-0.18873902654295238	-0.5320559733284065	0.781160230699267
Amp 19q	-0.19832303939046653	0.18505725852906885	0.6051455887528637	0.6179369761835107	0.20815736841599486	0.19806592980255178	0.7448547512887181	0.7392979665066481	0.21688063670692684	0.17526857408208124	0.5618612197712114	0.572852500394525	0.10248887907568047	0.7225301413898845	0.6891680731346937	0.65883359415854	0.5956583938701873	0.7975470158564293	0.23832710468679	0.23724649128155473	0.2938066318112939	0.2887194563913254	0.8907187266492875	1	0.1635672228448255	0.42488553876411844	-0.10386390223302942	-0.04388781839761829	-0.06599440775119575	-0.044927654763463006	-0.1531766455936297	-0.10060941970505041	-0.07319737989185472	-0.08605545736156239	-0.3394663912808121	-0.25747220199532467	-0.0952413617875465	-0.0037707725748856325	-0.13827334269618444	-0.048205808108907705	-0.02555911885657648	-0.14831375403338184	-0.07147614132940354	-0.18951344149052685	-0.17403829604130713	-0.36296325527288575	-0.19100654510205836	-0.5351748291981121	0.736795045395978
Amp 20q	0.07477594427785432	0.24243756381542542	0.07001859024954792	0.06389841529671636	0.05792904675059284	0.04545669328254045	0.1323990678625589	0.1405348120177388	0.07068244211426843	0.03800879018269811	0.06870244093429512	0.07625321847971717	0.12452480718909663	0.2040894415158933	0.19403813062472056	0.19961697669604545	0.20700257513193443	0.15606906498588036	0.15378792977089778	0.15094298295344408	0.08482885735680944	0.08011100466644097	0.18078114020861713	0.1635672228448255	1	0.09373506909618194	-0.05096221594394507	-0.03356636880226725	-0.04109412437627	0.03039859774163041	-0.03685001866047412	-0.020530083404851192	-0.04460607849410721	-0.025883434283182367	-0.08055090005204499	-0.05739442681144853	-0.04251128645331101	-0.0396779887512546	-0.008484977918890147	0.04862624767405808	0.07002483200183421	-0.057878232354377133	-0.042646860561039855	-0.05998903175804669	-0.03668780090781618	-0.07143370094835232	-0.054504688201735214	-0.12960823136458915	0.1728991925624298
Amp 21q	-0.0948505817685269	0.15345238437577086	0.3667166672702781	0.3913135716017863	0.16260128599615428	0.1317019422781057	0.43032463797972537	0.4028686031911917	0.049695465230740796	0.017711063245010834	0.38882951406679367	0.37749470852269024	0.06965042793073373	0.43365409538987687	0.4107035162592876	0.3990616185575239	0.3760201232220353	0.4533353235528733	0.09655191265607711	0.12346923592274708	0.08835685519677622	0.10924971760372719	0.4397849506659429	0.42488553876411844	0.09373506909618194	1	-7.545657847808498e-4	-0.012464279968212389	0.016318987289093485	0.04249810196968622	-0.08573397591764767	-0.039686202714260974	0.01925965540434871	-0.042316221679402743	-0.11735483911185474	-0.1419440738856912	-0.041897149727502726	0.07381181111951626	-0.01807357300968616	-0.008496056696170928	-0.030224820876976928	-0.05005943104962856	-0.0416203444430978	-0.08144574816001847	-0.14148746798067144	-0.19739416160305656	-0.042739895477031234	-0.3195996047470802	0.4445932097847991
Del 1p	0.015724566974605298	-0.04703288070117089	-0.048777326137520255	-0.05398508520543369	-0.07026283686290846	-0.07336939411154075	-0.046602145444831086	-0.06784965013725952	-0.09047661995943734	-0.0700764708276137	0.003918263134099667	-0.025558884315938377	-0.017753435793094755	-0.06329423700866964	-0.052129133782181786	-0.0694405543906982	-0.08332420115188276	-0.07776888614225658	-0.07113312419868685	-0.07696004747842983	0.011806366282480848	0.035745097711420246	-0.058133260455698416	-0.10386390223302942	-0.05096221594394507	-7.545657847808498e-4	1	0.34850358533388487	0.07872718608534257	0.10541321836950837	0.1579422035627276	0.28864997419906596	0.12314541850310279	0.3256298293191021	0.16612232428099685	0.21384903913434652	0.2555361241133583	0.2942179377340281	0.15937479213632202	0.13642977468923637	0.10457070898244904	0.041492968771557864	0.09931268802650765	0.17540241652697347	-0.028276533413129325	-0.15115888004550385	0.06404056523792265	-0.11546365009962559	-0.02501477928191803
Del 4p	0.009124188734238361	-0.04135565354600916	-0.046511909683418166	-0.062259506111911264	-0.060206329359132955	-0.06461318944625485	-0.01699936233623393	-0.04820178159950004	-0.05336482074042547	-0.04531286369120475	-0.02323877916813925	-0.027594107340393723	-0.007076541866125634	-0.067130945781414	-0.058835539120506423	0.0020175226672580118	-6.5402599321811e-4	-0.032529540816540026	-0.05995258930791908	-0.06569588084445471	0.03454793574383139	0.030432046845073224	-0.01769497925191144	-0.04388781839761829	-0.03356636880226725	-0.012464279968212389	0.34850358533388487	1	0.17558265495962253	0.13124810146666088	0.17633223426078995	0.24565640312973175	0.09700590567155432	0.16260698761057127	0.032183315547658735	0.1684446482986221	0.24519686158847512	0.17756946346951213	0.16438841795376072	0.17648990226755182	0.21639412241180211	0.0902518749049552	0.12742663084052722	0.10960834720387348	-0.04967517250728486	-0.0796722715159156	-0.06412790471999041	-0.14902061728463573	0.03143890223835232
Del 6q	0.014543739798659186	-0.03891556737939684	-0.0687808776672116	-0.05700868425119922	-0.0450159511867074	-0.034794335309037194	-0.0382329925470082	-0.07989148065048526	-0.02320162597630458	-0.10123844110794251	-0.09071939508468509	-0.0535239575378123	0.09792701699315016	-0.0908271291732691	-0.04625523502815055	-0.0025347889942466343	-0.04667478218934218	-0.07316655121754485	-0.093121109888028325	-0.0862363245565224	0.009195170960736881	0.008110714780909986	-0.07802170399537187	-0.06599440775119575	-0.04109412437627	0.016318987289093485	0.07872718608534257	0.17558265495962253	1	0.11579207778497246	0.049610130277850994	0.142637024187493	0.1940661077694323	0.19503370306982812	0.07118979950341417	0.13771073302532585	0.010311670311468561	0.07578937256778316	0.20042178180782266	-0.03063056084176972	-0.03674510396200458	-0.005376102620061392	0.035180526315679764	-0.002487296136513897	0.0749095716513185	-0.10727898240106461	0.09268955105710829	0.019727772689852822	-0.05159006548782142
Del 8p	0.07181658681445548	0.05465588678316127	-0.013563467885526417	-7.803349749041449e-4	-0.04049763235356778	-0.05369757808297309	0.0297084913404859	0.007642832079355069	0.12955083760945646	-0.08831350081254218	0.11494108929426929	0.09730819036303351	0.0012251444529357825	0.04289150883025242	0.023315489271386762	0.00932175238547806	-0.04974934521947235	0.051382231638771904	0.009947706323478543	0.021450215092310074	-0.02431109450565924	-0.028426066893320116	0.012340940595307312	-0.044927654763463006	0.03039859774163041	0.04249810196968622	0.10541321836950837	0.13124810146666088	0.11579207778497246	1	0.4229002282935329	0.16876378023408747	0.14139337892226297	0.21527998410905755	0.16771428337206862	0.11404048410694995	0.08212523441907221	0.15732522909529686	0.22638735779553473	0.21871965158597165	0.17764555191357467	0.200429620326813	0.08896106935314264	0.15272740462671924	0.04633445898936261	-0.21074624255751478	0.022291183810429365	-0.1341956617660422	0.04519247665777451
