Alteration	Amp 1p	Amp 1q	Amp 2p	Amp 2q	Amp 3p	Amp 3q	Amp 4p	Amp 4q	Amp 5p	Amp 5q	Amp 6p	Amp 6q	Amp 7p	Amp 7q	Amp 8q	Amp 9p	Amp 9q	Amp 11p	Amp 11q	Amp 15q	Amp 17p	Amp 17q	Amp 18p	Amp 18q	Amp 19p	Amp 19q	Amp 21q	Del 1p	Del 4p	Del 6q	Del 8p	Del 12p	Del 12q	Del 13q	Del 14q	Del 16p	Del 16q	Del 17p	Del 18p	Del 20p	Del 22q	t 4 14	t 11 14	t others	t IgH	HyperDiploidy
Amp 6p	0.12118895615521334	0.1720965618356059	0.3326803066802921	0.3209434090902609	0.3048389673871881	0.3161270194896084	0.0736997093388513	0.08729496224798046	0.28916494616904626	0.28888633556015597	1	0.7150424151483584	0.3407864691518029	0.34223831064502797	0.10190292046412755	0.3371835554145458	0.32835406305428805	0.1952730436121432	0.13153643266732643	0.32818730574842364	0.20281226104336333	0.2171110169198387	0.24827426547306705	0.2395693516986046	0.3385272190224428	0.3012495225362124	0.16195881143248084	-0.09825660552683824	-0.060540070031182745	-0.05881382690195359	-0.008070048123896655	-0.054927322827741404	-0.05957166664269183	-0.09030036932733534	-0.1244034144412771	-0.05005213500963114	-0.008837606308121828	-0.05293119412987763	0.018009715994622106	-0.05613972317779775	-0.05688582877938145	-0.07839233984481125	-0.20182036406654733	-0.06347929016571617	-0.2507303858419122	0.31234600533002205
Amp 6q	0.04269547841798558	0.03861478959430944	0.2670881039518657	0.2721637179380373	0.2799797930644665	0.2809895490712619	0.12411361852432612	0.10596741554769988	0.2813218880745779	0.2879482471664917	0.7150424151483584	1	0.2879488616876124	0.28924184787931917	0.06755483235925391	0.27911990939429243	0.2773276095444189	0.14785378478511169	0.11223798458141011	0.29061834039890994	0.1985479738592966	0.21008267834912944	0.13823201077687663	0.12933628814056541	0.29117385815324937	0.24536338228331747	0.15202818483878272	-0.09911799694015148	-0.06479843811682402	-0.14371163788846839	-0.056503541672318885	-0.013540578689886087	-0.051582898336845845	-0.09052163623615274	-0.13326774269360733	-0.03547408477994691	-0.04009167361206621	-0.033444442385199925	0.05364093278003258	-0.07182715031856697	-0.032439442613462495	-0.02791763208043242	-0.16869098896523732	-0.0822387298911464	-0.1989252253808895	0.27391782960652866
Amp 7p	-0.009186422268372027	0.03936069820770489	0.257987486966802	0.2504824302439644	0.48231273187123347	0.5142139387709933	0.20087415001902115	0.22051804281199106	0.5678745225252894	0.5579016663714012	0.3407864691518029	0.2879488616876124	1	0.9598284530586012	0.12574430971517733	0.5395826449060895	0.5382786336570402	0.32481963893496385	0.27986195960622096	0.5645539952389191	0.3076988039361636	0.33584967518156295	0.27684185583157905	0.3007848980214865	0.5801411811941862	0.5621677610548533	0.35400807410565693	-0.07002993746766321	-0.11675948698765388	-0.06099664841875307	0.09277643782323867	-0.046813756224646334	-0.08872888596168584	-0.12770301738693116	-0.22579779274547152	-0.04698537408673229	0.011423014173400498	-0.061995559623525556	-0.024180488732563003	0.004340282917474448	-0.08309327726480616	-0.2115533884582407	-0.3191129047507576	-0.08927405581406518	-0.45127854414224206	0.5593303830907191
Amp 7q	0.003458959238074985	0.03846142563676907	0.27617458448071447	0.26976135500071524	0.4905392607738314	0.5189296207539875	0.1968013552996185	0.2158249968164886	0.5574881777093149	0.5500828346100286	0.34223831064502797	0.28924184787931917	0.9598284530586012	1	0.12917095822808963	0.5329810298230555	0.5305695790722212	0.3320458533812831	0.2850864219404379	0.5543885624214537	0.3131529131312243	0.34058812668727817	0.27421913729018277	0.2977853590481113	0.5943469070220306	0.5621869989795231	0.3594627071115661	-0.08366258928159633	-0.09870509023848517	-0.07119467920114712	0.07203393353598554	-0.048659542939479376	-0.10163072449984632	-0.1304930551956715	-0.23191386474769057	-0.06210450487548026	0.008490404571837792	-0.08226102287170378	-0.02747391916070827	0.01001837505450203	-0.08314518940325272	-0.20913668311955885	-0.3342974128570266	-0.0932467100932245	-0.46406605354616076	0.5662853748676779
Amp 8q	0.08602343812197374	0.1064270049654173	0.19210643051391796	0.1428372401797866	0.11347446514139099	0.10397536908438217	0.015039699410691543	0.004176808983312761	0.09807362278913986	0.07817944097451307	0.10190292046412755	0.06755483235925391	0.12574430971517733	0.12917095822808963	1	0.09461489157185445	0.09509445472426699	0.07790004599954103	0.08138380523785983	0.082726325868308	0.046376180004381935	0.08785709021505772	0.06155202677929957	0.05974612704469546	0.0882793879668176	0.09132520177278115	0.07641688110788095	-0.016985625365220365	-0.015939817728560703	0.060017403220788565	0.027967469886027038	-0.038034002137543904	-0.022071850083953952	0.028429171879859216	-0.09641022864886291	0.03277311514005315	0.0975188082930364	0.03292257798302692	0.055952205599122715	0.021578082960552126	-0.03296540766271158	0.014286024730636485	-0.039058304676852736	-0.023950981098804836	-0.033832617872680056	0.10158587078816876
Amp 9p	0.005756026239258439	-0.038318051606692695	0.23958865552038025	0.2252698824556981	0.5717930649857244	0.582972152280382	0.1623731351260187	0.1721805900687857	0.746365191489396	0.7463431994737703	0.3371835554145458	0.27911990939429243	0.5395826449060895	0.5329810298230555	0.09461489157185445	1	0.9364414877683352	0.5728010279148735	0.519881011152515	0.7516896811202058	0.23349129753323433	0.24592627557994373	0.248261949469973	0.24346648844467478	0.7618900054719945	0.7673584175949592	0.4346395614083177	-0.0696116366538572	-0.16859572004561382	-0.07451296719204377	0.021308351893551507	-0.13017074982654311	-0.13042339248336446	-0.2737088394661976	-0.26673887373393296	-0.06267459282725302	-0.04738262779327872	-0.06544668566517951	-0.0260139706781693	-0.08420629145391713	-0.14759120357726122	-0.3080322611908859	-0.4409656454924834	-0.1515082410039012	-0.6487797121616738	0.8032256467058213
Amp 9q	-0.011480776081370337	-0.02671393662349676	0.21967337288118807	0.2176159342581188	0.5514398877410425	0.5615121509151914	0.1708837875449862	0.17893920143145706	0.7446519029668127	0.7440440425462045	0.32835406305428805	0.2773276095444189	0.5382786336570402	0.5305695790722212	0.09509445472426699	0.9364414877683352	1	0.5671222991866673	0.5083076153468765	0.7369698877319237	0.23404708942941954	0.24952393025960132	0.24103346853646496	0.23482321681382015	0.7611855778404699	0.757836519698042	0.44220937611112265	-0.039722261674812215	-0.16891765185949006	-0.07252497365666184	0.013718774748293703	-0.14378518277749525	-0.12953471503531838	-0.26222158670238027	-0.24430359591918974	-0.0560051365300116	-0.03372813794293966	-0.07633712506018808	-0.017697952573559005	-0.08213052892945755	-0.16059413488566116	-0.3395463680144009	-0.447013375800935	-0.13585101321433785	-0.6672040952867271	0.8110979914040127
Amp 11p	-0.04966453844507973	-0.18502848112010603	0.21654661344823858	0.2282749106317408	0.48377233645201334	0.4924013417905666	0.13056892797285158	0.15025125791131064	0.5638581313621573	0.5584381280359211	0.1952730436121432	0.14785378478511169	0.32481963893496385	0.3320458533812831	0.07790004599954103	0.5728010279148735	0.5671222991866673	1	0.856134359476676	0.5905681159203675	0.16569417904668235	0.19436571620640025	0.18002880234606272	0.1726187282560498	0.5826915184557259	0.5917388149680026	0.39681394467534936	-0.04006077287723277	-0.09457120471828015	0.03843191815810782	0.03446407465477046	-0.07820095694898709	-0.09302543507220876	-0.30332454199992	-0.22621111535273566	-0.045017980352697023	0.01664508586565137	0.024794418775306352	0.022707203940826665	-0.07663707022679281	-0.05637592398726725	-0.24560661151947463	-0.28977278973990117	-0.141460051762153	-0.47764010576536997	0.5688674851480631
Amp 11q	-0.09102187036018605	-0.26530874605951066	0.19112901783263442	0.1990984758194583	0.42143863224152817	0.4210990528305657	0.14594076738238657	0.1598081325630232	0.4802854895481943	0.4751295576118769	0.13153643266732643	0.11223798458141011	0.27986195960622096	0.2850864219404379	0.08138380523785983	0.519881011152515	0.5083076153468765	0.856134359476676	1	0.5239662694995028	0.14005066944676975	0.16794175665181932	0.15669967874487528	0.14483743613463607	0.5044454516234523	0.5337523357545936	0.3480798193776653	-0.0604745670187091	-0.11492642788724484	0.030952586852716485	-0.033969172189972384	-0.0773754455337946	-0.09544894084055199	-0.33402919739078185	-0.2324269788479167	-0.03697174376416535	0.008963078959171568	0.029221212802219496	-0.024559174457809595	-0.09998819964976097	-0.07929667298870587	-0.29129703935032825	-0.13690747912073153	-0.1512616047073228	-0.38886421992956827	0.5136078561283991
Amp 15q	-0.00951252048238479	-0.07682960926591395	0.2602673696588788	0.24704547097321747	0.6083124514486792	0.6287924338470635	0.18078723823051246	0.20364347851030168	0.7665699908571352	0.7695346731879074	0.32818730574842364	0.29061834039890994	0.5645539952389191	0.5543885624214537	0.082726325868308	0.7516896811202058	0.7369698877319237	0.5905681159203675	0.5239662694995028	1	0.2171201124340999	0.23338293876440092	0.24540167247377773	0.23949921677052724	0.7650074064561453	0.7570364868322855	0.44858373424435755	-0.05726248279983495	-0.12060609957208912	-0.02820833889474453	0.07430965155246662	-0.11691407543464925	-0.13808199690140857	-0.234177673747948	-0.26318730107882365	-0.11323732516900747	-0.07330789888144214	-0.021063811956510026	-0.008485868739248534	-0.07849066663799253	-0.059247376819967695	-0.22757106030952284	-0.45518134786978964	-0.21266354418072336	-0.6367733006211408	0.7758594928079037
Amp 17p	0.0017806649299674504	0.072472923582559	0.18115262622374292	0.2113382156979795	0.2554194402925763	0.2483803826587324	0.1472655431403589	0.1315498135164435	0.21700961949781258	0.2161067055777787	0.20281226104336333	0.1985479738592966	0.3076988039361636	0.3131529131312243	0.046376180004381935	0.23349129753323433	0.23404708942941954	0.16569417904668235	0.14005066944676975	0.2171201124340999	1	0.8819400765694816	0.10066459311192312	0.09837688731707701	0.26196524313409586	0.2538208870999665	0.12621373984729908	-0.049959158663399214	-0.014590990963380512	-0.06639428157439248	-0.04173195580267274	-0.04599605022677408	-0.01960940131170867	-0.12485665931053432	-0.08592036137529878	-0.03857657884756414	0.0357687372647628	-0.11029086200779768	0.027066515047131156	0.037777518802105545	-0.009261823084741161	-0.08957341293994862	-0.11875534554426188	-0.001876050954669907	-0.15913530551223237	0.23532268058666117
Amp 17q	0.0034939110894575717	0.08308557792025653	0.2503774260674788	0.256275848252317	0.2767902987988513	0.2783947691685944	0.16528828293749342	0.1474653727972919	0.23344401298811668	0.2439629296266718	0.2171110169198387	0.21008267834912944	0.33584967518156295	0.34058812668727817	0.08785709021505772	0.24592627557994373	0.24952393025960132	0.19436571620640025	0.16794175665181932	0.23338293876440092	0.8819400765694816	1	0.1028852791154334	0.1167825781725925	0.2774676133894817	0.2759095080386727	0.14820216268762199	-0.04251598392956916	-0.004978400978562606	-0.05945069536612685	-0.024681914647047363	-0.029760814593880153	-0.003399608167481968	-0.10588220999339491	-0.09181437974727664	-0.024920596334920823	0.06071310053750222	-0.09912030040146215	0.012801290723027391	0.016538485523721714	-0.03799885088687912	-0.10221675578515817	-0.1271624886485069	-0.003723688417994004	-0.17560866992494267	0.2450173876778896
Amp 18p	0.0793529399101532	0.11459376785831192	0.14333093813997533	0.12082162841327986	0.1913768269156528	0.23304833144373782	0.12474403282970992	0.13665686550668257	0.17867477923987143	0.17278506279484832	0.24827426547306705	0.13823201077687663	0.27684185583157905	0.27421913729018277	0.06155202677929957	0.248261949469973	0.24103346853646496	0.18002880234606272	0.15669967874487528	0.24540167247377773	0.10066459311192312	0.1028852791154334	1	0.9544538412364729	0.2469850135194147	0.2390284881994969	0.23294901003599805	-0.030840016993301668	-0.06681691851466119	0.025790990155563277	0.04264600957428983	-0.030038414718126943	-0.04719051306760437	-0.007971885237069338	-0.10374907973160452	-0.012091528930601836	0.027803971566399847	0.0024833526976379616	-0.09456730792913057	-0.004131955689345744	-0.04230337141669256	-0.14442755355804898	-0.09889498205993666	-0.055375627803607594	-0.20809415806037998	0.24870929221093271
Amp 18q	0.0751909561023364	0.12506821059535286	0.1353905152042636	0.11157468612606779	0.19123164356459255	0.2386081613427612	0.13505455789687687	0.14743244619696766	0.1592089691634745	0.15365675025450912	0.2395693516986046	0.12933628814056541	0.3007848980214865	0.2977853590481113	0.05974612704469546	0.24346648844467478	0.23482321681382015	0.1726187282560498	0.14483743613463607	0.23949921677052724	0.09837688731707701	0.1167825781725925	0.9544538412364729	1	0.2456567301434047	0.23042902961079	0.22842676220717625	-0.050979114607555984	-0.05612033465086173	0.01920909071465805	0.06528301870087902	-0.02693965890171845	-0.04846807917055555	0.015513434343736556	-0.08114330104882303	-0.011873813876070283	0.013685786510264199	-0.01627675515307273	-0.0862251330244569	0.040631574637354534	-0.04464949447102427	-0.14148033639657057	-0.10434169135507097	-0.04236996500462146	-0.20376793894255574	0.252486085700814
Amp 19p	-0.021092797957717607	-0.02300214218448929	0.26209595822160286	0.25503500953993896	0.5822277322947053	0.5879540079829394	0.17823293036454965	0.19447230864619913	0.7361089079325419	0.736918780708574	0.3385272190224428	0.29117385815324937	0.5801411811941862	0.5943469070220306	0.0882793879668176	0.7618900054719945	0.7611855778404699	0.5826915184557259	0.5044454516234523	0.7650074064561453	0.26196524313409586	0.2774676133894817	0.2469850135194147	0.2456567301434047	1	0.898835707752111	0.41316621167197815	-0.025579635050456583	-0.08818946651041926	-0.03350930866811504	0.023271156864956254	-0.12119288316917244	-0.13807489829131486	-0.2662549113250894	-0.2741189248254961	-0.12504929734459663	-0.05015384215668068	-0.062040733434349626	-0.02294813715017139	-0.06529501080053808	-0.14832204390848316	-0.2576781342033604	-0.47289759044066554	-0.15835612973364155	-0.6436358613438048	0.833163825363577
Amp 19q	-0.053138526534940105	-0.0804532987552842	0.2575162943881898	0.24889978182262354	0.6001022961980323	0.5950943225573618	0.19114124690103534	0.2098217008248281	0.741713091828965	0.744705421719478	0.3012495225362124	0.24536338228331747	0.5621677610548533	0.5621869989795231	0.09132520177278115	0.7673584175949592	0.757836519698042	0.5917388149680026	0.5337523357545936	0.7570364868322855	0.2538208870999665	0.2759095080386727	0.2390284881994969	0.23042902961079	0.898835707752111	1	0.4189325019576038	-0.04000937015474851	-0.15506641467063104	-0.03291956821803002	-0.012818986324346658	-0.12905728278421416	-0.12065774915792232	-0.27509579546243906	-0.2566756433821395	-0.10243989719474979	-0.03436900635821933	-0.08990731245879695	-0.022946982411293285	-0.06664737090306108	-0.1309593197095133	-0.25729675144936276	-0.44782237770107486	-0.1349365919950551	-0.6110218600644256	0.7866718604652566
Amp 21q	-0.01601261126547041	-0.0706854568211252	0.18576177962153492	0.15885961001394874	0.3582752581555343	0.3667702873397024	0.14357910153555453	0.1499759799348322	0.42110848241818044	0.43202344572138446	0.16195881143248084	0.15202818483878272	0.35400807410565693	0.3594627071115661	0.07641688110788095	0.4346395614083177	0.44220937611112265	0.39681394467534936	0.3480798193776653	0.44858373424435755	0.12621373984729908	0.14820216268762199	0.23294901003599805	0.22842676220717625	0.41316621167197815	0.4189325019576038	1	-0.036428376205179774	-0.10397738292439203	-0.040399684405830444	0.0964481111743163	-0.06993810187788123	-0.1216384424420606	-0.18110630553003268	-0.16573561799720007	-0.03107627483160267	-0.04156556193777027	0.03565959973656387	0.03528610076634333	-0.026059964039663503	-0.0373443393777578	-0.17800124443898474	-0.22799411128024374	-0.04872734817545448	-0.3329782161372215	0.41668276502186896
Del 1p	-0.0891720074633613	-0.07278620346172343	-0.06178360542061222	-0.06921245840221164	-0.07161581451705891	-0.07430596546055296	-0.02584011354573974	-0.024707594760224993	-0.025351450350671833	-0.03199467834459773	-0.09825660552683824	-0.09911799694015148	-0.07002993746766321	-0.08366258928159633	-0.016985625365220365	-0.0696116366538572	-0.039722261674812215	-0.04006077287723277	-0.0604745670187091	-0.05726248279983495	-0.049959158663399214	-0.04251598392956916	-0.030840016993301668	-0.050979114607555984	-0.025579635050456583	-0.04000937015474851	-0.036428376205179774	1	0.33605147016621206	0.14534742951549634	0.10589326874579955	0.11061933549776023	0.23289664889691872	0.08554256674619906	0.1613759315765665	0.2968659463053068	0.275724734837598	0.20300406957696587	0.1303776614987911	0.11951894439196756	0.13913843552347144	-0.07674817594433231	-0.07300094717557296	-0.061588332300661866	-0.14372416178239478	-0.042619055930103324
Del 4p	0.09896450067813958	0.07387284834876577	-0.030797644569617602	-0.025560439789146714	-0.10911541091357838	-0.10088124951220534	-0.07938398510441694	-0.08150170108565535	-0.1308000512809405	-0.13103402346102913	-0.060540070031182745	-0.06479843811682402	-0.11675948698765388	-0.09870509023848517	-0.015939817728560703	-0.16859572004561382	-0.16891765185949006	-0.09457120471828015	-0.11492642788724484	-0.12060609957208912	-0.014590990963380512	-0.004978400978562606	-0.06681691851466119	-0.05612033465086173	-0.08818946651041926	-0.15506641467063104	-0.10397738292439203	0.33605147016621206	1	0.2102427598456478	0.1312042177079625	0.16605595383099583	0.30965953957685227	0.16624905831295406	0.21078292108564298	0.3073541341340385	0.22685301847192538	0.2042119116429206	0.15848939716799773	0.16137220519706144	0.1864174137686874	-0.05704360276495582	-0.08699960067207092	-0.02136142809414775	-0.12084552403096491	-0.13807694294290546
Del 6q	0.056493538254149295	0.010193619225834581	-0.06874088281482094	-0.06240450366817524	-0.056441922676047564	-0.07703319797855508	-0.03442337212393331	-0.008522659519013553	-0.029957423228698345	-0.050909952419041074	-0.05881382690195359	-0.14371163788846839	-0.06099664841875307	-0.07119467920114712	0.060017403220788565	-0.07451296719204377	-0.07252497365666184	0.03843191815810782	0.030952586852716485	-0.02820833889474453	-0.06639428157439248	-0.05945069536612685	0.025790990155563277	0.01920909071465805	-0.03350930866811504	-0.03291956821803002	-0.040399684405830444	0.14534742951549634	0.2102427598456478	1	0.15220901111581628	0.15692093357917064	0.16797860367349615	0.11452731928385912	0.09950272102288125	0.07022112349247088	0.05470811575373094	0.16746905044964286	0.01150848109501875	0.1332896652892403	0.032989353978488706	0.0020157704029678696	-0.03945985456274421	0.05281017669798903	-0.0026308871989705676	-0.05866116635909584
