sample	segment_count	included
MMRF_1879_1_BM	41	yes
MMRF_1880_1_BM	35	yes
MMRF_1881_1_BM	50	yes
MMRF_1882_1_BM	57	yes
MMRF_1886_1_BM	39	yes
MMRF_1888_1_BM	71	yes
MMRF_1890_1_BM	141	yes
MMRF_1891_1_BM	54	yes
MMRF_1893_1_BM	39	yes
MMRF_1895_1_BM	51	yes
MMRF_1900_1_BM	75	yes
MMRF_1906_1_BM	89	yes
MMRF_1908_1_BM	48	yes
MMRF_1911_1_BM	36	yes
MMRF_1915_1_BM	89	yes
MMRF_1916_1_BM	76	yes
MMRF_1917_1_BM	46	yes
MMRF_1918_1_BM	37	yes
MMRF_1921_1_BM	41	yes
MMRF_1922_1_BM	57	yes
MMRF_1927_1_BM	49	yes
MMRF_1928_1_BM	62	yes
MMRF_1929_1_BM	53	yes
MMRF_1930_1_BM	50	yes
MMRF_1931_1_BM	81	yes
MMRF_1932_1_BM	64	yes
MMRF_1940_1_BM	60	yes
MMRF_1955_1_BM	60	yes
MMRF_1957_1_BM	101	yes
MMRF_1960_1_BM	61	yes
MMRF_1963_1_BM	42	yes
MMRF_1965_1_BM	81	yes
MMRF_1967_1_BM	51	yes
MMRF_1970_1_BM	62	yes
MMRF_1971_1_BM	61	yes
MMRF_1972_1_BM	96	yes
MMRF_1977_1_BM	58	yes
MMRF_1978_1_BM	49	yes
MMRF_1981_1_BM	85	yes
MMRF_1982_1_BM	51	yes
MMRF_1985_1_BM	80	yes
MMRF_1986_1_BM	71	yes
MMRF_1988_1_BM	72	yes
MMRF_1991_1_BM	44	yes
MMRF_1992_1_BM	38	yes
MMRF_1994_1_BM	60	yes
MMRF_1995_1_BM	45	yes
MMRF_1997_1_BM	35	yes
MMRF_1998_1_BM	62	yes
MMRF_1999_1_BM	48	yes
MMRF_2000_1_BM	45	yes
MMRF_2001_1_BM	58	yes
MMRF_2002_1_BM	60	yes
MMRF_2005_1_BM	50	yes
MMRF_2006_1_BM	47	yes
MMRF_2007_1_BM	47	yes
MMRF_2012_1_BM	58	yes
MMRF_2013_1_BM	47	yes
MMRF_2014_1_BM	49	yes
MMRF_2015_1_BM	55	yes
MMRF_2016_1_BM	55	yes
MMRF_2017_1_BM	32	yes
MMRF_2018_1_BM	57	yes
MMRF_2024_1_BM	60	yes
MMRF_2026_1_BM	57	yes
MMRF_2035_1_BM	51	yes
MMRF_2038_1_BM	72	yes
MMRF_2039_1_BM	101	yes
MMRF_2041_1_BM	68	yes
MMRF_2043_1_BM	43	yes
MMRF_2047_1_BM	44	yes
MMRF_2050_1_BM	57	yes
MMRF_2054_1_BM	46	yes
MMRF_2055_1_BM	55	yes
MMRF_2056_1_BM	51	yes
MMRF_2057_1_BM	56	yes
MMRF_2058_1_BM	72	yes
MMRF_2059_1_BM	57	yes
MMRF_2061_1_BM	74	yes
MMRF_2062_1_BM	63	yes
MMRF_2063_1_BM	68	yes
MMRF_2068_1_BM	108	yes
MMRF_2072_1_BM	52	yes
MMRF_2074_1_BM	52	yes
MMRF_2076_1_BM	86	yes
MMRF_2079_1_BM	38	yes
MMRF_2080_1_BM	48	yes
MMRF_2081_1_BM	62	yes
MMRF_2082_1_BM	55	yes
MMRF_2083_1_BM	70	yes
MMRF_2087_1_BM	69	yes
MMRF_2089_1_BM	99	yes
MMRF_2090_1_BM	60	yes
MMRF_2091_1_BM	54	yes
MMRF_2093_1_BM	50	yes
MMRF_2095_1_BM	37	yes
MMRF_2097_1_BM	51	yes
MMRF_2098_1_BM	43	yes
MMRF_2101_1_BM	51	yes
MMRF_2102_1_BM	56	yes
MMRF_2106_1_BM	65	yes
MMRF_2107_1_BM	55	yes
MMRF_2111_1_BM	65	yes
MMRF_2112_1_BM	53	yes
MMRF_2113_1_BM	48	yes
MMRF_2115_1_BM	126	yes
MMRF_2116_1_BM	42	yes
MMRF_2118_1_BM	49	yes
MMRF_2119_1_BM	62	yes
MMRF_2122_1_BM	65	yes
MMRF_2124_1_BM	64	yes
MMRF_2125_1_BM	72	yes
MMRF_2126_1_BM	73	yes
MMRF_2128_1_BM	46	yes
MMRF_2129_1_BM	36	yes
MMRF_2132_1_BM	62	yes
MMRF_2137_1_BM	72	yes
MMRF_2138_1_BM	46	yes
MMRF_2140_1_BM	60	yes
MMRF_2141_1_BM	66	yes
MMRF_2143_1_BM	42	yes
MMRF_2144_1_BM	40	yes
MMRF_2149_1_BM	42	yes
MMRF_2150_1_BM	91	yes
MMRF_2151_1_BM	53	yes
MMRF_2152_1_BM	119	yes
MMRF_2153_1_BM	29	yes
MMRF_2159_1_BM	61	yes
MMRF_2167_1_BM	136	yes
MMRF_2168_1_BM	75	yes
MMRF_2170_1_BM	55	yes
MMRF_2172_1_BM	122	yes
MMRF_2173_1_BM	47	yes
MMRF_2174_1_BM	57	yes
MMRF_2176_1_BM	53	yes
MMRF_2180_1_BM	64	yes
MMRF_2181_1_BM	65	yes
MMRF_2183_1_BM	67	yes
MMRF_2185_1_BM	46	yes
MMRF_2186_1_BM	46	yes
MMRF_2187_1_BM	44	yes
MMRF_2190_1_BM	55	yes
MMRF_2191_1_BM	50	yes
MMRF_2194_1_BM	80	yes
MMRF_2195_1_BM	64	yes
MMRF_2197_1_BM	92	yes
MMRF_2198_1_BM	89	yes
MMRF_2199_1_BM	49	yes
MMRF_2200_1_BM	75	yes
MMRF_2201_1_BM	47	yes
MMRF_2203_1_BM	55	yes
MMRF_2204_1_BM	111	yes
MMRF_2207_1_BM	44	yes
MMRF_2209_1_BM	44	yes
MMRF_2211_1_BM	56	yes
MMRF_2213_1_BM	75	yes
MMRF_2214_1_BM	91	yes
MMRF_2215_1_BM	61	yes
MMRF_2216_1_BM	51	yes
MMRF_2217_1_BM	92	yes
MMRF_2220_1_BM	76	yes
MMRF_2222_1_BM	75	yes
MMRF_2223_1_BM	52	yes
MMRF_2224_1_BM	123	yes
MMRF_2225_1_BM	43	yes
MMRF_2226_1_BM	67	yes
MMRF_2228_1_BM	46	yes
MMRF_2229_1_BM	72	yes
MMRF_2230_1_BM	44	yes
MMRF_2231_1_BM	44	yes
MMRF_2232_1_BM	80	yes
MMRF_2236_1_BM	62	yes
MMRF_2237_1_BM	57	yes
MMRF_2238_1_BM	66	yes
MMRF_2240_1_BM	53	yes
MMRF_2244_1_BM	55	yes
MMRF_2245_1_BM	69	yes
MMRF_2246_1_BM	44	yes
MMRF_2250_1_BM	77	yes
MMRF_2251_1_BM	45	yes
MMRF_2253_1_BM	53	yes
MMRF_2257_1_BM	39	yes
MMRF_2258_1_BM	58	yes
MMRF_2265_1_BM	90	yes
MMRF_2266_1_BM	88	yes
MMRF_2267_1_BM	43	yes
MMRF_2268_1_BM	41	yes
MMRF_2269_1_BM	54	yes
MMRF_2270_1_BM	59	yes
MMRF_2271_1_BM	43	yes
MMRF_2272_1_BM	75	yes
MMRF_2273_1_BM	51	yes
MMRF_2279_1_BM	73	yes
MMRF_2281_1_BM	53	yes
MMRF_2284_1_BM	64	yes
MMRF_2286_1_BM	57	yes
MMRF_2288_1_BM	48	yes
MMRF_2289_1_BM	57	yes
MMRF_2290_1_BM	66	yes
MMRF_2291_1_BM	111	yes
MMRF_2292_1_BM	49	yes
MMRF_2293_1_BM	49	yes
MMRF_2297_1_BM	47	yes
MMRF_2300_1_BM	61	yes
MMRF_2301_1_BM	65	yes
MMRF_2302_1_BM	95	yes
MMRF_2305_1_BM	34	yes
MMRF_2306_1_BM	59	yes
MMRF_2307_1_BM	71	yes
MMRF_2308_1_BM	48	yes
MMRF_2310_1_BM	68	yes
MMRF_2313_1_BM	65	yes
MMRF_2314_1_BM	83	yes
MMRF_2316_1_BM	47	yes
MMRF_2317_1_BM	59	yes
MMRF_2324_1_BM	50	yes
MMRF_2325_1_BM	46	yes
MMRF_2326_1_BM	47	yes
MMRF_2327_1_BM	57	yes
MMRF_2328_1_BM	85	yes
MMRF_2329_1_BM	61	yes
MMRF_2330_1_BM	213	yes
MMRF_2331_1_BM	91	yes
MMRF_2333_1_BM	51	yes
MMRF_2335_1_BM	59	yes
MMRF_2336_1_BM	64	yes
MMRF_2339_1_BM	38	yes
MMRF_2341_1_BM	63	yes
MMRF_2344_1_BM	61	yes
MMRF_2352_1_BM	57	yes
MMRF_2353_1_BM	101	yes
MMRF_2362_1_BM	53	yes
MMRF_2364_1_BM	37	yes
MMRF_2365_1_BM	83	yes
MMRF_2366_1_BM	62	yes
MMRF_2367_1_BM	103	yes
MMRF_2368_1_BM	45	yes
MMRF_2373_1_BM	100	yes
MMRF_2377_1_BM	48	yes
MMRF_2378_1_BM	86	yes
MMRF_2379_1_BM	53	yes
MMRF_2380_1_BM	75	yes
MMRF_2383_1_BM	106	yes
MMRF_2384_1_BM	58	yes
MMRF_2386_1_BM	45	yes
MMRF_2388_1_BM	60	yes
MMRF_2394_1_BM	64	yes
MMRF_2397_1_BM	78	yes
MMRF_2399_1_BM	45	yes
MMRF_2400_1_BM	94	yes
MMRF_2401_1_BM	72	yes
MMRF_2404_1_BM	76	yes
MMRF_2407_1_BM	75	yes
MMRF_2409_1_BM	78	yes
MMRF_2410_1_BM	56	yes
MMRF_2411_1_BM	75	yes
MMRF_2412_1_BM	152	yes
MMRF_2413_1_BM	93	yes
MMRF_2419_1_BM	55	yes
MMRF_2422_1_BM	135	yes
MMRF_2425_1_BM	69	yes
MMRF_2426_1_BM	74	yes
MMRF_2427_1_BM	87	yes
MMRF_2428_1_BM	39	yes
MMRF_2429_1_BM	89	yes
MMRF_2433_1_BM	43	yes
MMRF_2436_1_BM	58	yes
MMRF_2437_1_BM	61	yes
MMRF_2438_1_BM	72	yes
MMRF_2440_1_BM	48	yes
MMRF_2442_1_BM	47	yes
MMRF_2444_1_BM	51	yes
MMRF_2445_1_BM	67	yes
MMRF_2446_1_BM	117	yes
MMRF_2449_1_BM	65	yes
MMRF_2452_1_BM	53	yes
MMRF_2453_1_BM	58	yes
MMRF_2455_1_BM	96	yes
MMRF_2456_1_BM	51	yes
MMRF_2457_1_BM	74	yes
MMRF_2458_1_BM	67	yes
MMRF_2459_1_BM	56	yes
MMRF_2461_1_BM	51	yes
MMRF_2464_1_BM	67	yes
MMRF_2465_1_BM	64	yes
MMRF_2468_1_BM	47	yes
MMRF_2469_1_BM	92	yes
MMRF_2471_1_BM	70	yes
MMRF_2472_1_BM	110	yes
MMRF_2473_1_BM	38	yes
MMRF_2475_1_BM	47	yes
MMRF_2476_1_BM	131	yes
MMRF_2477_1_BM	54	yes
MMRF_2478_1_BM	46	yes
MMRF_2480_1_BM	37	yes
MMRF_2485_1_BM	44	yes
MMRF_2486_1_BM	47	yes
MMRF_2488_1_BM	63	yes
MMRF_2489_1_BM	61	yes
MMRF_2490_1_BM	84	yes
MMRF_2493_1_BM	39	yes
MMRF_2497_1_BM	56	yes
MMRF_2498_1_BM	56	yes
MMRF_2499_1_BM	70	yes
MMRF_2501_1_BM	68	yes
MMRF_2503_1_BM	100	yes
MMRF_2504_1_BM	67	yes
MMRF_2505_1_BM	42	yes
MMRF_2506_1_BM	92	yes
MMRF_2507_1_BM	88	yes
MMRF_2511_1_BM	38	yes
MMRF_2514_1_BM	48	yes
MMRF_2515_1_BM	71	yes
MMRF_2516_1_BM	76	yes
MMRF_2517_1_BM	31	yes
MMRF_2518_1_BM	58	yes
MMRF_2519_1_BM	48	yes
MMRF_2522_1_BM	70	yes
MMRF_2523_1_BM	63	yes
MMRF_2524_1_BM	137	yes
MMRF_2525_1_BM	70	yes
MMRF_2526_1_BM	99	yes
MMRF_2531_1_BM	83	yes
MMRF_2532_1_BM	79	yes
MMRF_2535_1_BM	38	yes
MMRF_2538_1_BM	83	yes
MMRF_2539_1_BM	79	yes
MMRF_2541_1_BM	82	yes
MMRF_2543_1_BM	83	yes
MMRF_2545_1_BM	80	yes
MMRF_2546_1_BM	57	yes
MMRF_2548_1_BM	53	yes
MMRF_2549_1_BM	82	yes
MMRF_2550_1_BM	102	yes
MMRF_2554_1_BM	140	yes
MMRF_2557_1_BM	46	yes
MMRF_2559_1_BM	90	yes
MMRF_2560_1_BM	129	yes
MMRF_2562_1_BM	73	yes
MMRF_2563_1_BM	67	yes
MMRF_2564_1_BM	70	yes
MMRF_2566_1_BM	52	yes
MMRF_2567_1_BM	82	yes
MMRF_2568_1_BM	68	yes
MMRF_2570_1_BM	49	yes
MMRF_2572_1_BM	49	yes
MMRF_2574_1_BM	68	yes
MMRF_2577_1_BM	69	yes
MMRF_2579_1_BM	44	yes
MMRF_2580_1_BM	36	yes
MMRF_2581_1_BM	56	yes
MMRF_2583_1_BM	58	yes
MMRF_2584_1_BM	54	yes
MMRF_2587_1_BM	70	yes
MMRF_2590_1_BM	37	yes
MMRF_2592_1_BM	44	yes
MMRF_2593_1_BM	56	yes
MMRF_2595_1_BM	66	yes
MMRF_2596_1_BM	53	yes
MMRF_2597_1_BM	54	yes
MMRF_2598_1_BM	93	yes
MMRF_2599_1_BM	51	yes
MMRF_2601_1_BM	66	yes
MMRF_2602_1_BM	58	yes
MMRF_2604_1_BM	106	yes
MMRF_2605_1_BM	41	yes
MMRF_2606_1_BM	51	yes
MMRF_2608_1_BM	68	yes
MMRF_2609_1_BM	41	yes
MMRF_2613_1_BM	57	yes
MMRF_2614_1_BM	50	yes
MMRF_2621_1_BM	85	yes
MMRF_2622_1_BM	63	yes
MMRF_2624_1_BM	43	yes
MMRF_2628_1_BM	53	yes
MMRF_2630_1_BM	43	yes
MMRF_2631_1_BM	43	yes
